datetime,lat,lon,site_id,site_name,duration,qc,parameter,unit,poc,value,data_status
20230710T0732,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,40.87,0
20230710T1002,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,34.28,0
20230710T1026,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,31.08,0
20230710T1029,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,31.65,0
20230710T1052,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,32.16,0
20230710T1130,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,23.72,0
20230710T1227,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,32.89,0
20230710T1316,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,22.61,0
20230710T1335,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,21.8,0
20230710T1336,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,31.48,0
20230710T1339,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,24.84,0
20230710T1358,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,22.14,0
20230710T1433,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,21.14,0
20230710T1518,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,22.97,0
20230710T1522,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,20.23,0
20230710T1610,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,18.27,0
20230710T1631,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,53.22,0
20230710T1655,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,22.66,0
20230710T1708,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,22.24,0
20230710T1753,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,46.4,0
20230710T1754,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,29.02,0
20230710T1801,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,41.46,0
20230710T1818,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,25.21,0
20230710T1911,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,41.5,0
20230710T1914,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,42.54,0
20230710T1925,0.329728422000113,32.603487733542444,64a5755320511a001d1b4a3e,Impala Ave,1,4,88500,001,1,42.31,0
